linear,Of or pertaining to a line; consisting of lines; in a straight direction; lineal.
cross,"A gibbet, consisting of two pieces of timber placed transversely upon one another, in various forms, as a T, or +, with the horizontal piece below the upper end of the upright, or as an X. It was anciently used in the execution of criminals."
gun,of Gin
