transfer,"To convey from one place or person another; to transport, remove, or cause to pass, to another place or person; as, to transfer the laws of one country to another; to transfer suspicion."
algebra,That branch of mathematics which treats of the relations and properties of quantity by means of letters and other symbols. It is applicable to those relations that are true of every kind of magnitude.
linear,Of or pertaining to a line; consisting of lines; in a straight direction; lineal.
cross,"A gibbet, consisting of two pieces of timber placed transversely upon one another, in various forms, as a T, or +, with the horizontal piece below the upper end of the upright, or as an X. It was anciently used in the execution of criminals."
gun,of Gin
